"GEOID","NAME","moe","hispan_latino"
"42003563100","Census Tract 5631; Allegheny County; Pennsylvania",150,106
"42003980100","Census Tract 9801; Allegheny County; Pennsylvania",11,0
"42003160800","Census Tract 1608; Allegheny County; Pennsylvania",141,174
"42003565300","Census Tract 5653; Allegheny County; Pennsylvania",25,16
"42003130700","Census Tract 1307; Allegheny County; Pennsylvania",102,66
"42003562901","Census Tract 5629.01; Allegheny County; Pennsylvania",4,2
"42003431500","Census Tract 4315; Allegheny County; Pennsylvania",44,53
"42003429700","Census Tract 4297; Allegheny County; Pennsylvania",11,0
"42003429100","Census Tract 4291; Allegheny County; Pennsylvania",137,155
"42003427200","Census Tract 4272; Allegheny County; Pennsylvania",126,167
"42003427000","Census Tract 4270; Allegheny County; Pennsylvania",25,20
"42003261400","Census Tract 2614; Allegheny County; Pennsylvania",52,51
"42003260200","Census Tract 2602; Allegheny County; Pennsylvania",66,60
"42003480300","Census Tract 4803; Allegheny County; Pennsylvania",59,80
"42003478100","Census Tract 4781; Allegheny County; Pennsylvania",41,34
"42003141400","Census Tract 1414; Allegheny County; Pennsylvania",297,599
"42003110200","Census Tract 1102; Allegheny County; Pennsylvania",106,161
"42003101800","Census Tract 1018; Allegheny County; Pennsylvania",45,48
"42003090300","Census Tract 903; Allegheny County; Pennsylvania",32,32
"42003080600","Census Tract 806; Allegheny County; Pennsylvania",43,43
"42003070900","Census Tract 709; Allegheny County; Pennsylvania",90,107
"42003060500","Census Tract 605; Allegheny County; Pennsylvania",11,0
"42003051000","Census Tract 510; Allegheny County; Pennsylvania",63,92
"42003140300","Census Tract 1403; Allegheny County; Pennsylvania",105,177
"42003120300","Census Tract 1203; Allegheny County; Pennsylvania",145,105
"42003110600","Census Tract 1106; Allegheny County; Pennsylvania",51,51
"42003424000","Census Tract 4240; Allegheny County; Pennsylvania",120,131
"42003422000","Census Tract 4220; Allegheny County; Pennsylvania",140,236
"42003483800","Census Tract 4838; Allegheny County; Pennsylvania",59,49
"42003460002","Census Tract 4600.02; Allegheny County; Pennsylvania",61,73
"42003488500","Census Tract 4885; Allegheny County; Pennsylvania",23,17
"42003523100","Census Tract 5231; Allegheny County; Pennsylvania",103,16
"42003473300","Census Tract 4733; Allegheny County; Pennsylvania",121,113
"42003481000","Census Tract 4810; Allegheny County; Pennsylvania",156,179
"42003484300","Census Tract 4843; Allegheny County; Pennsylvania",23,10
"42003190300","Census Tract 1903; Allegheny County; Pennsylvania",114,150
"42003191400","Census Tract 1914; Allegheny County; Pennsylvania",32,36
"42003191500","Census Tract 1915; Allegheny County; Pennsylvania",92,88
"42003281400","Census Tract 2814; Allegheny County; Pennsylvania",11,0
"42003290100","Census Tract 2901; Allegheny County; Pennsylvania",153,173
"42003320700","Census Tract 3207; Allegheny County; Pennsylvania",40,36
"42003472100","Census Tract 4721; Allegheny County; Pennsylvania",144,131
"42003562600","Census Tract 5626; Allegheny County; Pennsylvania",49,55
"42003562000","Census Tract 5620; Allegheny County; Pennsylvania",96,120
"42003562300","Census Tract 5623; Allegheny County; Pennsylvania",179,226
"42003980900","Census Tract 9809; Allegheny County; Pennsylvania",11,0
"42003980400","Census Tract 9804; Allegheny County; Pennsylvania",11,0
"42003562800","Census Tract 5628; Allegheny County; Pennsylvania",20,14
"42003130600","Census Tract 1306; Allegheny County; Pennsylvania",33,22
"42003562700","Census Tract 5627; Allegheny County; Pennsylvania",34,29
"42003141200","Census Tract 1412; Allegheny County; Pennsylvania",151,164
"42003565200","Census Tract 5652; Allegheny County; Pennsylvania",50,57
"42003563000","Census Tract 5630; Allegheny County; Pennsylvania",229,290
"42003980500","Census Tract 9805; Allegheny County; Pennsylvania",11,0
"42003980700","Census Tract 9807; Allegheny County; Pennsylvania",11,0
"42003202300","Census Tract 2023; Allegheny County; Pennsylvania",32,18
"42003070600","Census Tract 706; Allegheny County; Pennsylvania",92,105
"42003428100","Census Tract 4281; Allegheny County; Pennsylvania",36,43
"42003562500","Census Tract 5625; Allegheny County; Pennsylvania",81,94
"42003130800","Census Tract 1308; Allegheny County; Pennsylvania",45,42
"42003241300","Census Tract 2413; Allegheny County; Pennsylvania",112,209
"42003271600","Census Tract 2716; Allegheny County; Pennsylvania",222,275
"42003980800","Census Tract 9808; Allegheny County; Pennsylvania",11,0
"42003484500","Census Tract 4845; Allegheny County; Pennsylvania",33,29
"42003180300","Census Tract 1803; Allegheny County; Pennsylvania",119,105
"42003191700","Census Tract 1917; Allegheny County; Pennsylvania",219,319
"42003320600","Census Tract 3206; Allegheny County; Pennsylvania",67,46
"42003050900","Census Tract 509; Allegheny County; Pennsylvania",66,86
"42003101400","Census Tract 1014; Allegheny County; Pennsylvania",102,126
"42003464300","Census Tract 4643; Allegheny County; Pennsylvania",54,53
"42003462100","Census Tract 4621; Allegheny County; Pennsylvania",11,0
"42003140800","Census Tract 1408; Allegheny County; Pennsylvania",72,122
"42003515300","Census Tract 5153; Allegheny County; Pennsylvania",46,52
"42003423000","Census Tract 4230; Allegheny County; Pennsylvania",11,0
"42003030500","Census Tract 305; Allegheny County; Pennsylvania",103,151
"42003270800","Census Tract 2708; Allegheny County; Pennsylvania",112,135
"42003561400","Census Tract 5614; Allegheny County; Pennsylvania",104,121
"42003191600","Census Tract 1916; Allegheny County; Pennsylvania",221,230
"42003465800","Census Tract 4658; Allegheny County; Pennsylvania",92,138
"42003459201","Census Tract 4592.01; Allegheny County; Pennsylvania",296,346
"42003464400","Census Tract 4644; Allegheny County; Pennsylvania",274,169
"42003202200","Census Tract 2022; Allegheny County; Pennsylvania",91,100
"42003090200","Census Tract 902; Allegheny County; Pennsylvania",85,115
"42003563202","Census Tract 5632.02; Allegheny County; Pennsylvania",92,80
"42003170600","Census Tract 1706; Allegheny County; Pennsylvania",65,67
"42003300100","Census Tract 3001; Allegheny County; Pennsylvania",446,331
"42003476100","Census Tract 4761; Allegheny County; Pennsylvania",207,266
"42003261300","Census Tract 2613; Allegheny County; Pennsylvania",61,39
"42003479000","Census Tract 4790; Allegheny County; Pennsylvania",11,0
"42003290400","Census Tract 2904; Allegheny County; Pennsylvania",167,210
"42003470502","Census Tract 4705.02; Allegheny County; Pennsylvania",12,6
"42003980300","Census Tract 9803; Allegheny County; Pennsylvania",11,0
"42003465600","Census Tract 4656; Allegheny County; Pennsylvania",44,53
"42003477200","Census Tract 4772; Allegheny County; Pennsylvania",30,17
"42003180700","Census Tract 1807; Allegheny County; Pennsylvania",196,137
"42003070300","Census Tract 703; Allegheny County; Pennsylvania",72,124
"42003425000","Census Tract 4250; Allegheny County; Pennsylvania",113,137
"42003981800","Census Tract 9818; Allegheny County; Pennsylvania",22,11
