"GEOID","NAME","moe","income"
"42003040400","Census Tract 404; Allegheny County; Pennsylvania",19905,66500
"42003040200","Census Tract 402; Allegheny County; Pennsylvania",13265,31250
"42003020300","Census Tract 203; Allegheny County; Pennsylvania",10916,114109
"42003262000","Census Tract 2620; Allegheny County; Pennsylvania",16253,41607
"42003260700","Census Tract 2607; Allegheny County; Pennsylvania",7557,82355
"42003563100","Census Tract 5631; Allegheny County; Pennsylvania",8429,71009
"42003980100","Census Tract 9801; Allegheny County; Pennsylvania",NA,NA
"42003160800","Census Tract 1608; Allegheny County; Pennsylvania",24005,56507
"42003565300","Census Tract 5653; Allegheny County; Pennsylvania",25631,65536
"42003130700","Census Tract 1307; Allegheny County; Pennsylvania",11619,36318
"42003562901","Census Tract 5629.01; Allegheny County; Pennsylvania",16895,47404
"42003431500","Census Tract 4315; Allegheny County; Pennsylvania",14603,64202
"42003429700","Census Tract 4297; Allegheny County; Pennsylvania",10353,61571
"42003429100","Census Tract 4291; Allegheny County; Pennsylvania",13534,75893
"42003427200","Census Tract 4272; Allegheny County; Pennsylvania",13589,69758
"42003427000","Census Tract 4270; Allegheny County; Pennsylvania",7570,69936
"42003261400","Census Tract 2614; Allegheny County; Pennsylvania",10117,33750
"42003260200","Census Tract 2602; Allegheny County; Pennsylvania",17326,72200
"42003480300","Census Tract 4803; Allegheny County; Pennsylvania",10837,81875
"42003478100","Census Tract 4781; Allegheny County; Pennsylvania",18525,54446
"42003141400","Census Tract 1414; Allegheny County; Pennsylvania",23056,111637
"42003110200","Census Tract 1102; Allegheny County; Pennsylvania",31367,98750
"42003101800","Census Tract 1018; Allegheny County; Pennsylvania",17007,89000
"42003090300","Census Tract 903; Allegheny County; Pennsylvania",12993,74342
"42003080600","Census Tract 806; Allegheny County; Pennsylvania",10555,64167
"42003070900","Census Tract 709; Allegheny County; Pennsylvania",13954,37259
"42003060500","Census Tract 605; Allegheny County; Pennsylvania",17092,51607
"42003051000","Census Tract 510; Allegheny County; Pennsylvania",1848,19109
"42003140300","Census Tract 1403; Allegheny County; Pennsylvania",38945,137604
"42003120300","Census Tract 1203; Allegheny County; Pennsylvania",8056,27358
"42003110600","Census Tract 1106; Allegheny County; Pennsylvania",26311,130444
"42003424000","Census Tract 4240; Allegheny County; Pennsylvania",10908,50833
"42003422000","Census Tract 4220; Allegheny County; Pennsylvania",NA,250001
"42003483800","Census Tract 4838; Allegheny County; Pennsylvania",6636,38661
"42003460002","Census Tract 4600.02; Allegheny County; Pennsylvania",11654,105759
"42003488500","Census Tract 4885; Allegheny County; Pennsylvania",18680,69423
"42003523100","Census Tract 5231; Allegheny County; Pennsylvania",7292,60279
"42003473300","Census Tract 4733; Allegheny County; Pennsylvania",15932,133563
"42003481000","Census Tract 4810; Allegheny County; Pennsylvania",12354,50379
"42003484300","Census Tract 4843; Allegheny County; Pennsylvania",27008,70313
"42003190300","Census Tract 1903; Allegheny County; Pennsylvania",32499,81618
"42003191400","Census Tract 1914; Allegheny County; Pennsylvania",17876,72175
"42003191500","Census Tract 1915; Allegheny County; Pennsylvania",5986,76477
"42003281400","Census Tract 2814; Allegheny County; Pennsylvania",16464,34234
"42003290100","Census Tract 2901; Allegheny County; Pennsylvania",19031,43315
"42003320700","Census Tract 3207; Allegheny County; Pennsylvania",6298,74356
"42003472100","Census Tract 4721; Allegheny County; Pennsylvania",7068,75137
"42003562600","Census Tract 5626; Allegheny County; Pennsylvania",14927,42372
"42003562000","Census Tract 5620; Allegheny County; Pennsylvania",7767,30689
"42003562300","Census Tract 5623; Allegheny County; Pennsylvania",19392,32250
"42003980900","Census Tract 9809; Allegheny County; Pennsylvania",NA,NA
"42003980400","Census Tract 9804; Allegheny County; Pennsylvania",NA,NA
"42003562800","Census Tract 5628; Allegheny County; Pennsylvania",4796,59938
"42003130600","Census Tract 1306; Allegheny County; Pennsylvania",12206,15912
"42003562700","Census Tract 5627; Allegheny County; Pennsylvania",12083,67667
"42003141200","Census Tract 1412; Allegheny County; Pennsylvania",16936,116250
"42003565200","Census Tract 5652; Allegheny County; Pennsylvania",35081,62283
"42003563000","Census Tract 5630; Allegheny County; Pennsylvania",10713,67261
"42003980500","Census Tract 9805; Allegheny County; Pennsylvania",9341,31500
"42003980700","Census Tract 9807; Allegheny County; Pennsylvania",89543,91250
"42003202300","Census Tract 2023; Allegheny County; Pennsylvania",16949,81887
"42003070600","Census Tract 706; Allegheny County; Pennsylvania",24356,84444
"42003428100","Census Tract 4281; Allegheny County; Pennsylvania",17199,79135
