"GEOID","total","no_vehicle_available","one_vehicle_available","no_vehicle_percentage","one_vehicle_percentage","total_percentage"
"42003562500",2714,345,375,0.127118644067797,0.138172439204127,0.265291083271923
"42003130800",2128,369,419,0.173402255639098,0.196898496240602,0.370300751879699
"42003241300",3599,352,953,0.0978049458182829,0.264795776604612,0.362600722422895
"42003271600",4442,622,717,0.140027014858172,0.161413777577668,0.30144079243584
"42003980800",0,0,0,NA,NA,NA
"42003484500",5246,300,1125,0.0571864277544796,0.214449104079299,0.271635531833778
"42003180300",1852,268,475,0.144708423326134,0.256479481641469,0.401187904967603
"42003191700",3582,92,635,0.0256839754327191,0.177275265214964,0.202959240647683
"42003320600",2202,45,414,0.0204359673024523,0.188010899182561,0.208446866485014
"42003050900",1539,554,187,0.359974009096816,0.121507472384665,0.481481481481481
"42003101400",3187,259,630,0.0812676498274239,0.197678067147788,0.278945716975212
"42003464300",3334,287,740,0.0860827834433113,0.221955608878224,0.308038392321536
"42003462100",2583,132,667,0.0511033681765389,0.258226867982966,0.309330236159505
"42003140800",4767,377,804,0.07908537864485,0.168659534298301,0.247744912943151
"42003515300",1520,225,508,0.148026315789474,0.334210526315789,0.482236842105263
"42003423000",2866,134,528,0.04675505931612,0.184228890439637,0.230983949755757
"42003030500",2989,559,765,0.187019069923051,0.255938440950151,0.442957510873202
"42003270800",2416,100,557,0.0413907284768212,0.230546357615894,0.271937086092715
"42003561400",3585,835,1043,0.232914923291492,0.290934449093445,0.523849372384937
"42003191600",3750,166,890,0.0442666666666667,0.237333333333333,0.2816
"42003465800",3629,111,717,0.0305869385505649,0.197575089556352,0.228162028106916
"42003459201",7360,104,1456,0.0141304347826087,0.197826086956522,0.21195652173913
"42003464400",2812,422,691,0.150071123755334,0.245732574679943,0.395803698435277
"42003202200",2475,180,495,0.0727272727272727,0.2,0.272727272727273
"42003090200",2705,291,619,0.107578558225508,0.228835489833641,0.33641404805915
"42003563202",1956,538,486,0.275051124744376,0.248466257668712,0.523517382413088
"42003170600",1675,171,355,0.102089552238806,0.211940298507463,0.314029850746269
"42003300100",3721,488,517,0.131147540983607,0.138941144853534,0.270088685837141
"42003476100",4987,382,1004,0.0765991578103068,0.201323440946461,0.277922598756768
"42003261300",3157,381,330,0.120684193854926,0.104529616724739,0.225213810579664
"42003479000",1959,30,310,0.0153139356814701,0.158244002041858,0.173557937723328
"42003290400",3482,330,674,0.0947731188971855,0.193566915565767,0.288340034462952
"42003470502",2981,47,318,0.0157665213015767,0.106675612210668,0.122442133512244
"42003980300",0,0,0,NA,NA,NA
"42003465600",2366,412,434,0.174133558748943,0.183431952662722,0.357565511411665
"42003477200",4384,138,817,0.031478102189781,0.186359489051095,0.217837591240876
"42003180700",2417,113,528,0.0467521721141911,0.218452627223831,0.265204799338022
"42003070300",2247,291,356,0.129506008010681,0.158433466844682,0.287939474855363
"42003425000",3383,286,839,0.0845403488028377,0.248004729530003,0.332545078332841
"42003981800",344,0,0,0,0,0
