"GEOID","NAME","moe","no_vehicle"
"42003472200","Census Tract 4722; Allegheny County; Pennsylvania",227,668
"42003482500","Census Tract 4825; Allegheny County; Pennsylvania",104,308
"42003523400","Census Tract 5234; Allegheny County; Pennsylvania",379,1358
"42003560500","Census Tract 5605; Allegheny County; Pennsylvania",283,807
"42003551200","Census Tract 5512; Allegheny County; Pennsylvania",372,670
"42003473200","Census Tract 4732; Allegheny County; Pennsylvania",137,896
"42003170200","Census Tract 1702; Allegheny County; Pennsylvania",324,1411
"42003489001","Census Tract 4890.01; Allegheny County; Pennsylvania",181,674
"42003457200","Census Tract 4572; Allegheny County; Pennsylvania",180,872
"42003151600","Census Tract 1516; Allegheny County; Pennsylvania",215,709
"42003100500","Census Tract 1005; Allegheny County; Pennsylvania",81,432
"42003051100","Census Tract 511; Allegheny County; Pennsylvania",67,157
"42003515100","Census Tract 5151; Allegheny County; Pennsylvania",110,552
"42003414102","Census Tract 4141.02; Allegheny County; Pennsylvania",166,751
"42003050100","Census Tract 501; Allegheny County; Pennsylvania",151,302
"42003432400","Census Tract 4324; Allegheny County; Pennsylvania",152,620
"42003430100","Census Tract 4301; Allegheny County; Pennsylvania",107,370
"42003426700","Census Tract 4267; Allegheny County; Pennsylvania",128,471
"42003250900","Census Tract 2509; Allegheny County; Pennsylvania",106,216
"42003563900","Census Tract 5639; Allegheny County; Pennsylvania",228,958
"42003981200","Census Tract 9812; Allegheny County; Pennsylvania",11,0
"42003010302","Census Tract 103.02; Allegheny County; Pennsylvania",81,157
"42003192000","Census Tract 1920; Allegheny County; Pennsylvania",136,647
"42003486700","Census Tract 4867; Allegheny County; Pennsylvania",70,142
"42003470600","Census Tract 4706; Allegheny County; Pennsylvania",162,768
"42003488100","Census Tract 4881; Allegheny County; Pennsylvania",131,388
"42003523502","Census Tract 5235.02; Allegheny County; Pennsylvania",159,387
"42003525200","Census Tract 5252; Allegheny County; Pennsylvania",160,654
"42003525100","Census Tract 5251; Allegheny County; Pennsylvania",117,473
"42003473601","Census Tract 4736.01; Allegheny County; Pennsylvania",117,349
"42003160900","Census Tract 1609; Allegheny County; Pennsylvania",239,995
"42003191900","Census Tract 1919; Allegheny County; Pennsylvania",192,503
"42003310200","Census Tract 3102; Allegheny County; Pennsylvania",135,540
"42003480101","Census Tract 4801.01; Allegheny County; Pennsylvania",266,708
"42003475402","Census Tract 4754.02; Allegheny County; Pennsylvania",296,520
"42003468700","Census Tract 4687; Allegheny County; Pennsylvania",96,426
"42003503002","Census Tract 5030.02; Allegheny County; Pennsylvania",298,1382
"42003151700","Census Tract 1517; Allegheny County; Pennsylvania",395,1140
"42003141300","Census Tract 1413; Allegheny County; Pennsylvania",195,1110
"42003101100","Census Tract 1011; Allegheny County; Pennsylvania",131,596
"42003080400","Census Tract 804; Allegheny County; Pennsylvania",121,483
"42003070500","Census Tract 705; Allegheny County; Pennsylvania",183,906
"42003140200","Census Tract 1402; Allegheny County; Pennsylvania",98,312
"42003111400","Census Tract 1114; Allegheny County; Pennsylvania",61,252
"42003513800","Census Tract 5138; Allegheny County; Pennsylvania",143,314
"42003420000","Census Tract 4200; Allegheny County; Pennsylvania",105,461
"42003413300","Census Tract 4133; Allegheny County; Pennsylvania",106,517
"42003432300","Census Tract 4323; Allegheny County; Pennsylvania",163,653
"42003431100","Census Tract 4311; Allegheny County; Pennsylvania",175,753
"42003428200","Census Tract 4282; Allegheny County; Pennsylvania",107,434
"42003270100","Census Tract 2701; Allegheny County; Pennsylvania",139,523
"42003410000","Census Tract 4100; Allegheny County; Pennsylvania",31,87
"42003405000","Census Tract 4050; Allegheny County; Pennsylvania",26,134
"42003270300","Census Tract 2703; Allegheny County; Pennsylvania",71,383
"42003475102","Census Tract 4751.02; Allegheny County; Pennsylvania",42,131
"42003561900","Census Tract 5619; Allegheny County; Pennsylvania",159,598
"42003515401","Census Tract 5154.01; Allegheny County; Pennsylvania",108,572
"42003564100","Census Tract 5641; Allegheny County; Pennsylvania",75,137
"42003980600","Census Tract 9806; Allegheny County; Pennsylvania",11,0
"42003101900","Census Tract 1019; Allegheny County; Pennsylvania",126,486
"42003120900","Census Tract 1209; Allegheny County; Pennsylvania",81,230
"42003564800","Census Tract 5648; Allegheny County; Pennsylvania",92,331
"42003564700","Census Tract 5647; Allegheny County; Pennsylvania",111,313
"42003409002","Census Tract 4090.02; Allegheny County; Pennsylvania",134,280
"42003409001","Census Tract 4090.01; Allegheny County; Pennsylvania",223,674
"42003565100","Census Tract 5651; Allegheny County; Pennsylvania",136,696
"42003980000","Census Tract 9800; Allegheny County; Pennsylvania",11,0
"42003450700","Census Tract 4507; Allegheny County; Pennsylvania",164,713
"42003521500","Census Tract 5215; Allegheny County; Pennsylvania",147,596
"42003463900","Census Tract 4639; Allegheny County; Pennsylvania",201,587
"42003455000","Census Tract 4550; Allegheny County; Pennsylvania",79,214
"42003468800","Census Tract 4688; Allegheny County; Pennsylvania",143,691
"42003494000","Census Tract 4940; Allegheny County; Pennsylvania",62,294
"42003111300","Census Tract 1113; Allegheny County; Pennsylvania",144,597
"42003417100","Census Tract 4171; Allegheny County; Pennsylvania",105,509
"42003448000","Census Tract 4480; Allegheny County; Pennsylvania",76,294
"42003070800","Census Tract 708; Allegheny County; Pennsylvania",164,874
"42003130200","Census Tract 1302; Allegheny County; Pennsylvania",65,174
"42003516100","Census Tract 5161; Allegheny County; Pennsylvania",68,322
"42003562400","Census Tract 5624; Allegheny County; Pennsylvania",155,579
"42003982200","Census Tract 9822; Allegheny County; Pennsylvania",5,3
"42003450800","Census Tract 4508; Allegheny County; Pennsylvania",167,640
"42003472400","Census Tract 4724; Allegheny County; Pennsylvania",104,340
"42003473500","Census Tract 4735; Allegheny County; Pennsylvania",87,232
"42003281500","Census Tract 2815; Allegheny County; Pennsylvania",72,211
"42003563201","Census Tract 5632.01; Allegheny County; Pennsylvania",54,112
"42003470501","Census Tract 4705.01; Allegheny County; Pennsylvania",288,1254
"42003474203","Census Tract 4742.03; Allegheny County; Pennsylvania",218,454
"42003552200","Census Tract 5522; Allegheny County; Pennsylvania",81,243
"42003499400","Census Tract 4994; Allegheny County; Pennsylvania",164,721
"42003040500","Census Tract 405; Allegheny County; Pennsylvania",119,443
"42003446000","Census Tract 4460; Allegheny County; Pennsylvania",53,145
"42003161000","Census Tract 1610; Allegheny County; Pennsylvania",149,613
"42003010301","Census Tract 103.01; Allegheny County; Pennsylvania",11,0
"42003981100","Census Tract 9811; Allegheny County; Pennsylvania",11,0
"42003472300","Census Tract 4723; Allegheny County; Pennsylvania",110,324
"42003522000","Census Tract 5220; Allegheny County; Pennsylvania",166,765
"42003459202","Census Tract 4592.02; Allegheny County; Pennsylvania",61,336
"42003475303","Census Tract 4753.03; Allegheny County; Pennsylvania",108,393
"42003492900","Census Tract 4929; Allegheny County; Pennsylvania",105,456
"42003060300","Census Tract 603; Allegheny County; Pennsylvania",143,909
"42003435000","Census Tract 4350; Allegheny County; Pennsylvania",101,561
"42003412003","Census Tract 4120.03; Allegheny County; Pennsylvania",124,314
"42003981000","Census Tract 9810; Allegheny County; Pennsylvania",11,0
"42003552400","Census Tract 5524; Allegheny County; Pennsylvania",198,695
"42003501000","Census Tract 5010; Allegheny County; Pennsylvania",95,416
"42003020100","Census Tract 201; Allegheny County; Pennsylvania",186,961
"42003486900","Census Tract 4869; Allegheny County; Pennsylvania",143,339
"42003080200","Census Tract 802; Allegheny County; Pennsylvania",96,451
"42003040600","Census Tract 406; Allegheny County; Pennsylvania",103,301
"42003478200","Census Tract 4782; Allegheny County; Pennsylvania",336,1229
"42003473100","Census Tract 4731; Allegheny County; Pennsylvania",187,836
"42003080900","Census Tract 809; Allegheny County; Pennsylvania",144,594
"42003140500","Census Tract 1405; Allegheny County; Pennsylvania",298,701
"42003261500","Census Tract 2615; Allegheny County; Pennsylvania",124,269
"42003411001","Census Tract 4110.01; Allegheny County; Pennsylvania",97,207
"42003456003","Census Tract 4560.03; Allegheny County; Pennsylvania",161,603
"42003449000","Census Tract 4490; Allegheny County; Pennsylvania",78,351
"42003469000","Census Tract 4690; Allegheny County; Pennsylvania",245,1124
"42003491200","Census Tract 4912; Allegheny County; Pennsylvania",114,391
"42003470400","Census Tract 4704; Allegheny County; Pennsylvania",208,541
"42003490004","Census Tract 4900.04; Allegheny County; Pennsylvania",127,495
"42003488300","Census Tract 4883; Allegheny County; Pennsylvania",68,254
"42003561500","Census Tract 5615; Allegheny County; Pennsylvania",185,878
"42003523600","Census Tract 5236; Allegheny County; Pennsylvania",262,868
"42003521302","Census Tract 5213.02; Allegheny County; Pennsylvania",239,980
"42003521301","Census Tract 5213.01; Allegheny County; Pennsylvania",275,1026
"42003560400","Census Tract 5604; Allegheny County; Pennsylvania",102,372
"42003552100","Census Tract 5521; Allegheny County; Pennsylvania",62,96
"42003551900","Census Tract 5519; Allegheny County; Pennsylvania",103,221
"42003551300","Census Tract 5513; Allegheny County; Pennsylvania",120,335
"42003526302","Census Tract 5263.02; Allegheny County; Pennsylvania",183,629
"42003526201","Census Tract 5262.01; Allegheny County; Pennsylvania",100,324
"42003451300","Census Tract 4513; Allegheny County; Pennsylvania",301,819
"42003473602","Census Tract 4736.02; Allegheny County; Pennsylvania",144,639
"42003484600","Census Tract 4846; Allegheny County; Pennsylvania",102,421
"42003191100","Census Tract 1911; Allegheny County; Pennsylvania",190,710
"42003191800","Census Tract 1918; Allegheny County; Pennsylvania",267,1353
"42003290200","Census Tract 2902; Allegheny County; Pennsylvania",183,744
"42003320400","Census Tract 3204; Allegheny County; Pennsylvania",112,420
"42003480400","Census Tract 4804; Allegheny County; Pennsylvania",187,693
"42003480200","Census Tract 4802; Allegheny County; Pennsylvania",123,473
"42003475304","Census Tract 4753.04; Allegheny County; Pennsylvania",214,1010
"42003476200","Census Tract 4762; Allegheny County; Pennsylvania",125,598
"42003492700","Census Tract 4927; Allegheny County; Pennsylvania",87,351
"42003496200","Census Tract 4962; Allegheny County; Pennsylvania",210,739
"42003141100","Census Tract 1411; Allegheny County; Pennsylvania",48,235
"42003090100","Census Tract 901; Allegheny County; Pennsylvania",126,694
"42003080700","Census Tract 807; Allegheny County; Pennsylvania",153,636
"42003140400","Census Tract 1404; Allegheny County; Pennsylvania",63,321
"42003140100","Census Tract 1401; Allegheny County; Pennsylvania",93,375
"42003111500","Census Tract 1115; Allegheny County; Pennsylvania",246,759
"42003521100","Census Tract 5211; Allegheny County; Pennsylvania",145,711
"42003512000","Census Tract 5120; Allegheny County; Pennsylvania",174,639
"42003508000","Census Tract 5080; Allegheny County; Pennsylvania",105,397
"42003421100","Census Tract 4211; Allegheny County; Pennsylvania",175,548
